funcid,dim,milestone,error
21,10,1,2.324416e+02
21,10,2,1.637918e+02
21,10,3,1.224764e+02
21,10,5,1.111823e+02
21,10,10,1.065297e+02
21,10,20,1.053029e+02
21,10,30,1.030688e+02
21,10,40,1.023963e+02
21,10,50,1.019743e+02
21,10,60,1.019743e+02
21,10,70,1.019743e+02
21,10,80,1.015386e+02
21,10,90,1.013352e+02
21,10,100,1.013352e+02
21,10,1,1.863809e+02
21,10,2,1.342578e+02
21,10,3,1.176806e+02
21,10,5,1.118925e+02
21,10,10,1.037668e+02
21,10,20,1.037668e+02
21,10,30,1.037668e+02
21,10,40,1.037668e+02
21,10,50,1.037668e+02
21,10,60,1.037668e+02
21,10,70,1.037668e+02
21,10,80,1.037668e+02
21,10,90,1.037668e+02
21,10,100,1.037668e+02
21,10,1,1.863809e+02
21,10,2,1.342578e+02
21,10,3,1.176806e+02
21,10,5,1.118925e+02
21,10,10,1.037668e+02
21,10,20,1.037668e+02
21,10,30,1.037668e+02
21,10,40,1.037668e+02
21,10,50,1.037668e+02
21,10,60,1.037668e+02
21,10,70,1.037668e+02
21,10,80,1.037668e+02
21,10,90,1.037668e+02
21,10,100,1.037668e+02
21,10,1,1.863809e+02
21,10,2,1.342578e+02
21,10,3,1.176806e+02
21,10,5,1.118925e+02
21,10,10,1.037668e+02
21,10,20,1.037668e+02
21,10,30,1.037668e+02
21,10,40,1.037668e+02
21,10,50,1.037668e+02
21,10,60,1.037668e+02
21,10,70,1.037668e+02
21,10,80,1.037668e+02
21,10,90,1.037668e+02
21,10,100,1.037668e+02
