funcid,dim,milestone,error
26,10,1,1.273955e+03
26,10,2,2.015754e+02
26,10,3,2.000002e+02
26,10,5,2.000000e+02
26,10,10,2.000000e+02
26,10,20,2.000000e+02
26,10,30,2.000000e+02
26,10,40,2.000000e+02
26,10,50,2.000000e+02
26,10,60,2.000000e+02
26,10,70,2.000000e+02
26,10,80,2.000000e+02
26,10,90,2.000000e+02
26,10,100,2.000000e+02
26,10,1,1.273955e+03
26,10,2,2.015754e+02
26,10,3,2.000002e+02
26,10,5,2.000000e+02
26,10,10,2.000000e+02
26,10,20,2.000000e+02
26,10,30,2.000000e+02
26,10,40,2.000000e+02
26,10,50,2.000000e+02
26,10,60,2.000000e+02
26,10,70,2.000000e+02
26,10,80,2.000000e+02
26,10,90,2.000000e+02
26,10,100,2.000000e+02
